2022-08-03 08:14:18 | Info    | 1     | Backup starts... | SetupLog |||
2022-08-03 08:14:38 | Info    | 1     | Backup successfully completed. | SetupLog |||
2022-08-03 08:14:38 | Info    |       | Deployment starts... | SetupLog |||
2022-08-03 08:14:43 | Info    |       | ----> Entering maintenance mode | SetupLog |||
2022-08-03 08:14:51 | Warning |       | CompileThemes: Theme #test-red has an import (#css-variables) without explicit xsi:type, it will be ignored. Check Datamodel XML Reference to fix it. | SetupLog |||
2022-08-03 08:14:51 | Warning |       | CompileThemes: Theme #light-grey has an import (#css-variables) without explicit xsi:type, it will be ignored. Check Datamodel XML Reference to fix it. | SetupLog |||
2022-08-03 08:14:51 | Info    |       | For theme 'darkmoon' precompiled file used: '/var/www/html/itop-web/data/precompiled_styles/darkmoon.css' | SetupLog |||
2022-08-03 08:14:53 | Warning |       | Cannot find /var/www/html/itop-web/env-production/branding/themes/darkmoon/images/arrow.png (images/arrow.png) during SCSS darkmoon precompilation | SetupLog |||
2022-08-03 08:14:53 | Info    |       | No theme 'darkmoon' compilation was required during setup. | SetupLog |||
2022-08-03 08:14:53 | Info    |       | For theme 'fullmoon' precompiled file used: '/var/www/html/itop-web/data/precompiled_styles/fullmoon.css' | SetupLog |||
2022-08-03 08:14:53 | Info    |       | No theme 'fullmoon' compilation was required during setup. | SetupLog |||
2022-08-03 08:14:53 | Info    |       | For theme 'test-red' precompiled file used: '/var/www/html/itop-web/data/precompiled_styles/test-red.css' | SetupLog |||
2022-08-03 08:14:53 | Info    |       | No theme 'test-red' compilation was required during setup. | SetupLog |||
2022-08-03 08:14:53 | Info    |       | For theme 'light-grey' precompiled file used: '/var/www/html/itop-web/data/precompiled_styles/light-grey.css' | SetupLog |||
2022-08-03 08:14:53 | Info    |       | No theme 'light-grey' compilation was required during setup. | SetupLog |||
2022-08-03 08:14:53 | Info    |       | <---- Exiting maintenance mode | SetupLog |||
2022-08-03 08:14:55 | Info    |       | MetaModel::Startup from /var/www/html/itop-web/conf/production/config-itop.php (ModelOnly = 1) | SetupLog |||
2022-08-03 08:14:56 | Info    |       | Compilation completed... | SetupLog |||
2022-08-03 08:14:57 | Info    |       | Move to production starts... | SetupLog |||
2022-08-03 08:14:57 | Info    |       | ----> Entering read only mode | SetupLog |||
2022-08-03 08:14:57 | Info    |       | MetaModel::Startup from /var/www/html/itop-web/conf/production/config-itop.php (ModelOnly = 1) | SetupLog |||
2022-08-03 08:14:57 | Info    |       | Calling Module Handler: AuthentLDAPInstaller::BeforeDatabaseCreation(oConfig, 3.0.1, 3.0.1) | SetupLog |||
2022-08-03 08:14:57 | Info    |       | Calling Module Handler: AttachmentInstaller::BeforeDatabaseCreation(oConfig, 3.0.1, 3.0.1) | SetupLog |||
2022-08-03 08:14:57 | Info    |       | No orphan attachment found. | SetupLog |||
2022-08-03 08:14:57 | Info    |       | Calling Module Handler: StructureInstaller::BeforeDatabaseCreation(oConfig, 3.0.1, 3.0.1) | SetupLog |||
